symbol,time_series,q_order,parameters_tts,error_parameters_tts,rsquared_tts,average_error_tts
MXN=X,absolute log-return,-2,-707196924.2237506,27788131.525877126,0.7027131891633146,0.040783386814418864
MXN=X,absolute log-return,-2,5452400.668516153,245774.4631400107,0.7027131891633146,0.040783386814418864
MXN=X,absolute log-return,-2,-15382.165471201715,723.1662215354755,0.7027131891633146,0.040783386814418864
MXN=X,absolute log-return,-2,20.670846830879924,0.7816258743566437,0.7027131891633146,0.040783386814418864
MXN=X,absolute log-return,-2,0.8591232725015001,0.00022365817405123838,0.7027131891633146,0.040783386814418864
MXN=X,absolute log-return,-1,-411689023.3675917,21406085.759071488,0.8589073433608543,0.03489537859030451
MXN=X,absolute log-return,-1,2578967.0939804497,189327.92334258102,0.8589073433608543,0.03489537859030451
MXN=X,absolute log-return,-1,-6696.518995698923,557.0780511757871,0.8589073433608543,0.03489537859030451
MXN=X,absolute log-return,-1,13.38659834427834,0.6021113899798062,0.8589073433608543,0.03489537859030451
MXN=X,absolute log-return,-1,0.8631461551423588,0.00017229103907183356,0.8589073433608543,0.03489537859030451
MXN=X,absolute log-return,1,530575790.6224851,22658981.293435153,0.905637786509679,0.037320368424316366
MXN=X,absolute log-return,1,-6343032.756066608,200409.2631239907,0.905637786509679,0.037320368424316366
MXN=X,absolute log-return,1,21084.445843585294,589.6837601534023,0.905637786509679,0.037320368424316366
MXN=X,absolute log-return,1,-15.040093123686567,0.6373528946708498,0.905637786509679,0.037320368424316366
MXN=X,absolute log-return,1,0.8930335041352956,0.00018237521213801394,0.905637786509679,0.037320368424316366
MXN=X,absolute log-return,2,751445710.206113,27418175.894168355,0.8446466019545256,0.03861023324232804
MXN=X,absolute log-return,2,-8315357.075165162,242502.35948366468,0.8446466019545256,0.03861023324232804
MXN=X,absolute log-return,2,27781.029298207777,713.5383911766959,0.8446466019545256,0.03861023324232804
MXN=X,absolute log-return,2,-24.82150173265805,0.7712197448967246,0.8446466019545256,0.03861023324232804
MXN=X,absolute log-return,2,0.890470058900515,0.00022068051429059907,0.8446466019545256,0.03861023324232804
MXN=X,log-return volatility,-2,109028842.34260416,4320346.148778428,0.8451995378305506,0.042919120682148724
MXN=X,log-return volatility,-2,-1342740.8540772162,59029.98957329398,0.8451995378305506,0.042919120682148724
MXN=X,log-return volatility,-2,3775.360331028637,269.1553054637526,0.8451995378305506,0.042919120682148724
MXN=X,log-return volatility,-2,4.413379249975238,0.4587442192921373,0.8451995378305506,0.042919120682148724
MXN=X,log-return volatility,-2,0.6366231467270006,0.0002245430728114919,0.8451995378305506,0.042919120682148724
MXN=X,log-return volatility,-1,184662998.2388562,5229965.881222239,0.8882259746498277,0.0472649027109848
MXN=X,log-return volatility,-1,-2429800.6955153053,71458.35560526174,0.8882259746498277,0.0472649027109848
MXN=X,log-return volatility,-1,8355.421782507827,325.8241390503844,0.8882259746498277,0.0472649027109848
MXN=X,log-return volatility,-1,0.3731316898099911,0.5553297195374463,0.8882259746498277,0.0472649027109848
MXN=X,log-return volatility,-1,0.6621482496442614,0.0002718191018099209,0.8882259746498277,0.0472649027109848
MXN=X,log-return volatility,1,306283085.0555875,6961059.644187253,0.9057331811319032,0.049670704983019974
MXN=X,log-return volatility,1,-4342387.777001563,95110.73049821147,0.9057331811319032,0.049670704983019974
MXN=X,log-return volatility,1,17794.95310731418,433.67037509537977,0.9057331811319032,0.049670704983019974
MXN=X,log-return volatility,1,-13.008215761384253,0.7391412081232422,0.9057331811319032,0.049670704983019974
MXN=X,log-return volatility,1,0.7589830314060633,0.00036178992809912425,0.9057331811319032,0.049670704983019974
MXN=X,log-return volatility,2,269870203.1842524,7703673.15030691,0.8612932732593621,0.05066169152166115
MXN=X,log-return volatility,2,-3911220.595576135,105257.24793307611,0.8612932732593621,0.05066169152166115
MXN=X,log-return volatility,2,16733.7208482335,479.93480812875146,0.8612932732593621,0.05066169152166115
MXN=X,log-return volatility,2,-14.773714341752534,0.817993605910161,0.8612932732593621,0.05066169152166115
MXN=X,log-return volatility,2,0.7931954317511387,0.0004003860759153291,0.8612932732593621,0.05066169152166115
EURCOP=X,absolute log-return,-2,-132250601.91876967,9902052.971981911,0.9311286228176967,0.03329114221394049
EURCOP=X,absolute log-return,-2,1939665.8449778706,113773.58182789948,0.9311286228176967,0.03329114221394049
EURCOP=X,absolute log-return,-2,-8580.892777403076,440.14704985709346,0.9311286228176967,0.03329114221394049
EURCOP=X,absolute log-return,-2,8.585189252304671,0.6492523680071628,0.9311286228176967,0.03329114221394049
EURCOP=X,absolute log-return,-2,0.848788792293051,0.00028953606554862936,0.9311286228176967,0.03329114221394049
EURCOP=X,absolute log-return,-1,-110876446.21350083,9101834.67519985,0.9176809543429988,0.031526142640671814
EURCOP=X,absolute log-return,-1,1635233.1291954455,104579.15496240738,0.9176809543429988,0.031526142640671814
EURCOP=X,absolute log-return,-1,-7090.7905421837495,404.5772822980943,0.9176809543429988,0.031526142640671814
EURCOP=X,absolute log-return,-1,6.446089900086352,0.596784094450308,0.9176809543429988,0.031526142640671814
EURCOP=X,absolute log-return,-1,0.8486444583550972,0.0002661376795890832,0.9176809543429988,0.031526142640671814
EURCOP=X,absolute log-return,1,37657352.011431344,7690922.175634342,0.8753438954410406,0.028037795678953377
EURCOP=X,absolute log-return,1,-211986.96891203988,88367.9138010512,0.8753438954410406,0.028037795678953377
EURCOP=X,absolute log-return,1,245.729840127977,341.86210837937114,0.8753438954410406,0.028037795678953377
EURCOP=X,absolute log-return,1,-2.5657745574020914,0.5042741589868479,0.8753438954410406,0.028037795678953377
EURCOP=X,absolute log-return,1,0.8462515802820195,0.00022488259287994642,0.8753438954410406,0.028037795678953377
EURCOP=X,absolute log-return,2,158484219.0618785,9979254.492439456,0.7146712167914109,0.03179964028200807
EURCOP=X,absolute log-return,2,-1570685.4426686259,114660.61944826649,0.7146712167914109,0.03179964028200807
EURCOP=X,absolute log-return,2,5063.164891736021,443.5786636416306,0.7146712167914109,0.03179964028200807
EURCOP=X,absolute log-return,2,-7.679353795354679,0.6543142748776511,0.7146712167914109,0.03179964028200807
EURCOP=X,absolute log-return,2,0.8277512295152688,0.0002917934382925338,0.7146712167914109,0.03179964028200807
EURCOP=X,log-return volatility,-2,-213211898.826079,14272952.820831122,0.4955716037106508,0.03393768878313256
EURCOP=X,log-return volatility,-2,2821348.298413493,149729.1784410891,0.4955716037106508,0.03393768878313256
EURCOP=X,log-return volatility,-2,-12014.014232765092,527.2089951547076,0.4955716037106508,0.03393768878313256
EURCOP=X,log-return volatility,-2,18.47143712635058,0.7042877069292393,0.4955716037106508,0.03393768878313256
EURCOP=X,log-return volatility,-2,0.636683875014376,0.0002817381871104586,0.4955716037106508,0.03393768878313256
EURCOP=X,log-return volatility,-1,-200501203.0201337,12525451.401273925,0.5479853653891269,0.03133335202844317
EURCOP=X,log-return volatility,-1,2637957.599849781,131397.16577633348,0.5479853653891269,0.03133335202844317
EURCOP=X,log-return volatility,-1,-11048.197292194509,462.6604410467199,0.5479853653891269,0.03133335202844317
EURCOP=X,log-return volatility,-1,16.429509832397066,0.6180586145273307,0.5479853653891269,0.03133335202844317
EURCOP=X,log-return volatility,-1,0.6522875996680889,0.00024724372138221494,0.5479853653891269,0.03133335202844317
EURCOP=X,log-return volatility,1,-19767383.3476227,11458269.699103478,0.6515959670587598,0.030331888270762195
EURCOP=X,log-return volatility,1,700680.7845064782,120201.98832993038,0.6515959670587598,0.030331888270762195
EURCOP=X,log-return volatility,1,-4265.060351480342,423.2412823126122,0.6515959670587598,0.030331888270762195
EURCOP=X,log-return volatility,1,6.664109613717068,0.565399367114874,0.6515959670587598,0.030331888270762195
EURCOP=X,log-return volatility,1,0.7071423292281624,0.00022617829491712225,0.6515959670587598,0.030331888270762195
EURCOP=X,log-return volatility,2,139387551.25340042,19181540.04580325,0.5122976903735986,0.03823557266524575
EURCOP=X,log-return volatility,2,-985827.3585992143,201222.28864242343,0.5122976903735986,0.03823557266524575
EURCOP=X,log-return volatility,2,1402.3985593953303,708.5205549273895,0.5122976903735986,0.03823557266524575
EURCOP=X,log-return volatility,2,-0.10090952288103253,0.9464981089626758,0.5122976903735986,0.03823557266524575
EURCOP=X,log-return volatility,2,0.7262697118429766,0.0003786302936981601,0.5122976903735986,0.03823557266524575
