symbol,time_series,q_order,matrix_norm,eigenvector
^DJI,absolute log-return,-2,1125725035.6601322,-0.16622825600291496
^DJI,absolute log-return,-1,1125725035.6601322,-0.362513135007419
^DJI,absolute log-return,1,1125725035.6601322,0.7761881908468379
^DJI,absolute log-return,2,1125725035.6601322,0.4883485616393369
^DJI,log-return volatility,-2,788087506.6749628,-0.1810734994702923
^DJI,log-return volatility,-1,788087506.6749628,-0.46428286631266374
^DJI,log-return volatility,1,788087506.6749628,-0.6983114137771939
^DJI,log-return volatility,2,788087506.6749628,-0.5138137668303167
^FCHI,absolute log-return,-2,354647230.3435789,-0.2910424586507821
^FCHI,absolute log-return,-1,354647230.3435789,0.6646978821843097
^FCHI,absolute log-return,1,354647230.3435789,-0.5631430706671811
^FCHI,absolute log-return,2,354647230.3435789,-0.3951309103580787
^FCHI,log-return volatility,-2,442671049.756323,0.07189937787627951
^FCHI,log-return volatility,-1,442671049.756323,0.6521708224813241
^FCHI,log-return volatility,1,442671049.756323,0.7545883671192745
^FCHI,log-return volatility,2,442671049.756323,0.009962545569428804
^IXIC,absolute log-return,-2,2017055183.1063874,-0.25498911680619124
^IXIC,absolute log-return,-1,2017055183.1063874,0.5010405382814956
^IXIC,absolute log-return,1,2017055183.1063874,-0.815836040135693
^IXIC,absolute log-return,2,2017055183.1063874,-0.13379626549227908
^IXIC,log-return volatility,-2,0.0,1.0
^IXIC,log-return volatility,-1,0.0,0.0
^IXIC,log-return volatility,1,0.0,0.0
^IXIC,log-return volatility,2,0.0,0.0
^MERV,absolute log-return,-2,399870780.8675087,-0.5502815374225195
^MERV,absolute log-return,-1,399870780.8675087,0.32068488682181334
^MERV,absolute log-return,1,399870780.8675087,-0.6029346578261434
^MERV,absolute log-return,2,399870780.8675087,-0.47710430512500024
^MERV,log-return volatility,-2,388769992.8105353,-0.6502048604381592
^MERV,log-return volatility,-1,388769992.8105353,-0.23426162595584132
^MERV,log-return volatility,1,388769992.8105353,0.6972192805172198
^MERV,log-return volatility,2,388769992.8105353,-0.1925215947138787
